c_Colonia,c_CodigoPostal,Nombre del asentamiento,,,,,,,,,
1811,40045,Magisterial Iguala,,,,,,,,,
1811,43703,La Lagunilla,,,,,,,,,
1811,47188,La Lagunilla,,,,,,,,,
1811,60465,Aguacate del Sur,,,,,,,,,
1811,63533,San Joaquín,,,,,,,,,
1811,67184,Villa San Sebastián,,,,,,,,,
1811,69800,Heroica Ciudad de Tlaxiaco Centro,,,,,,,,,
1811,74695,Tula,,,,,,,,,
1811,76902,Acueducto Candiles,,,,,,,,,
1811,78622,La Cruz,,,,,,,,,
1811,82704,Loma Linda,,,,,,,,,
1811,83343,Primavera,,,,,,,,,
1811,86930,Gregorio Méndez,,,,,,,,,
1811,89700,Santa Fe,,,,,,,,,
1811,92780,Comején,,,,,,,,,
1811,97203,Ampliación Francisco de Montejo,,,,,,,,,
1812,11480,Popo,,,,,,,,,
1812,21399,Villas de La República,,,,,,,,,
1812,30833,Tinajas 3a Secc,,,,,,,,,
1812,33496,Mesa de las Gallinas,,,,,,,,,
1812,35942,Cipriano,,,,,,,,,
1812,37632,La Escondida,,,,,,,,,
1812,40046,Los Chocolines,,,,,,,,,
1812,47188,La Parada,,,,,,,,,
1812,52169,Las Glorias,,,,,,,,,
1812,60464,Palmito del Poniente,,,,,,,,,
1812,62757,Lázaro Cárdenas 2a Ampliación,,,,,,,,,
1812,63538,San Luisito,,,,,,,,,
1812,67185,El Milagro,,,,,,,,,
1812,69802,Cañada Maria 1a Dem,,,,,,,,,
1812,74696,Almolonga,,,,,,,,,
1812,76907,Espíritu Santo,,,,,,,,,
1812,78622,Santa Cruz,,,,,,,,,
1812,82707,Miramar,,,,,,,,,
1812,83343,Lomas de Kino,,,,,,,,,
1812,86930,Jardines de Balancán,,,,,,,,,
1812,93607,Constitución,,,,,,,,,
1812,97219,Ampliación Lindavista (Elefante Chico),,,,,,,,,
1813,11489,Ampliación Popo,,,,,,,,,
1813,25125,Hacienda San Pablo,,,,,,,,,
1813,30836,Francisco I Madero,,,,,,,,,
1813,33496,Llano Blanco,,,,,,,,,
1813,35942,El Zorrillo,,,,,,,,,
1813,37633,San Isidro,,,,,,,,,
1813,40050,El Derrame,,,,,,,,,
1813,47189,La Campana,,,,,,,,,
1813,52169,El Nogal,,,,,,,,,
1813,60464,Los Fresnos,,,,,,,,,
