municipality,state,description,start_date,end_date
011,DUR,Indé,1/1/22,
011,GRO,Atoyac de Álvarez,1/1/22,
011,GUA,Cortazar,1/1/22,
011,HID,Atlapexco,1/1/22,
011,JAL,Atengo,1/1/22,
011,MEX,Atenco,1/1/22,
011,MIC,Briseñas,1/1/22,
011,MOR,Jiutepec,1/1/22,
011,NAY,Ruíz,1/1/22,
011,NLE,Cerralvo,1/1/22,
011,OAX,Calihualá,1/1/22,
011,PUE,Albino Zertuche,1/1/22,
011,QUE,El Marqués,1/1/22,
011,ROO,Puerto Morelos,1/1/22,
011,SIN,Guasave,1/1/22,
011,SLP,Ciudad Fernández,1/1/22,
011,SON,Bacoachi,1/1/22,
011,TAB,Jonuta,1/1/22,
011,TAM,Gómez Farías,1/1/22,
011,TLA,Muñoz de Domingo Arenas,1/1/22,
011,VER,Alvarado,1/1/22,
011,YUC,Celestún,1/1/22,
011,ZAC,Trinidad García de la Cadena,1/1/22,
012,COA,Guerrero,1/1/22,
012,CHH,Carichí,1/1/22,
012,CHP,Berriozábal,1/1/22,
012,CMX,Tlalpan,1/1/22,
012,DUR,Lerdo,1/1/22,
012,GRO,Ayutla de los Libres,1/1/22,
012,GUA,Cuerámaro,1/1/22,
012,HID,Atotonilco el Grande,1/1/22,
012,JAL,Atenguillo,1/1/22,
012,MEX,Atizapán,1/1/22,
012,MIC,Buenavista,1/1/22,
012,MOR,Jojutla,1/1/22,
012,NAY,San Blas,1/1/22,
012,NLE,Ciénega de Flores,1/1/22,
012,OAX,Candelaria Loxicha,1/1/22,
012,PUE,Aljojuca,1/1/22,
012,QUE,Pedro Escobedo,1/1/22,
012,SIN,Mazatlán,1/1/22,
012,SLP,Tancanhuitz,1/1/22,
012,SON,Bácum,1/1/22,
012,TAB,Macuspana,1/1/22,
012,TAM,González,1/1/22,
012,TLA,Españita,1/1/22,
012,VER,Amatitlán,1/1/22,
012,YUC,Cenotillo,1/1/22,
012,ZAC,Genaro Codina,1/1/22,
013,COA,Hidalgo,1/1/22,
013,CHH,Casas Grandes,1/1/22,
013,CHP,Bochil,1/1/22,
013,CMX,Xochimilco,1/1/22,
013,DUR,Mapimí,1/1/22,
